J57151200-908	51805.4450638874	47
J57562041-902	567.1784666244	4
	3403.0707997467	4
	1134.3569332489	1
J29169010-405	2166.9191728316	26
J92567420-407	2303.5923066235	24
J57150901-404	5266.700157547	45
J57561011-902	602.9369440449	5
	1808.8108321348	2
	3014.6847202247	1
	1205.8738880899	5
	3617.6216642696	1
	2411.7477761797	1
J57151718-902	254.9880212321	44
J57151323-902	989.0059633478	15
	5934.0357800866	2
	2967.0178900433	2
	1978.0119266955	3
J57152080-901	33.3522995006	36
	667.0459900122	1
	1000.5689850183	1
J52451740-401	769.7541401109	28
J57562021-904	4575.5701089107	1
	6863.3551633661	4
	1143.8925272277	1
J57159011-403	2367.1443669612	68
J52466150-402	563.9256705476	40
J52467100-408	1700.3545903386	45
J57562091-904	3231.4969464038	5
	1077.1656488013	1
J57166511-902	835.4673046915	43
J57151342-904	4748.3581909261	1
	1899.3432763704	1
	2849.0149145557	3
	949.6716381852	4
	3798.6865527409	1
	5698.0298291113	3
J57160001-910	124027.687753755	22
J57562031-902	1053.3489432795	5
	3160.0468298384	1
	2106.6978865589	1
	1580.0234149192	2
	526.6744716397	6
J57151354-902	2391.4734992622	2
	4782.9469985244	4
	797.1578330874	10
	1594.3156661748	5
J52451725-402	1034.2777553219	38
J52451360-402	610.0774998164	31
J29169051-402	445.6442022451	29
	891.2884044903	9
J57160210-402	1412.0031298933	45
J57150902-402	724.1927156094	1
	772.4722299834	2
J57160270-402	1624.103257646	40
J52466100-404	1271.7764277845	52
J57161030-401A01	777.9975274291	1
	32.4165636429	1
	324.1656364288	2
J57151334-902	1789.7285044646	11
	5369.1855133939	2
	3579.4570089292	8
	7158.9140178585	2
	8948.6425223231	1
J57151720-402	784.0463913666	46
J57158019-906	1919.5952738628	57
J57161015-401A01	4924.1428556287	2
	328.2761903752	6
	3282.7619037525	1
J52467200-410	5692.0812225871	36
J29169053-401	999.6778080109	4
J57561041-904	2966.9510517677	1
	1483.4755258839	3
	988.9836839226	3
	1977.9673678452	1
	494.4918419613	11
J57151315-902	1000.9143161087	3
	2001.8286322173	8
	4003.6572644347	1
	3002.742948326	1
	6005.485896652	3
J57166311-905	2531.644502808	58
J57161020-401A01	882.2652372907	2
	45.5837039267	17
J57161035-401A01	31.7481808874	13
	634.9636177471	2
J57158032-402	507.1242760407	59
J29169051-401	898.4400999744	8
	449.2200499872	18
J57160160-404	1471.5783128356	46
J57166552-902A02	441.2551554839	34
J57151717-904	1730.1421818097	47
J57151747-904	4188.3648389235	1
	5026.0378067082	2
	1675.3459355694	1
	837.6729677847	2
	2513.0189033541	2
	3350.6918711388	1
J57562011-902	3059.923093061	4
	2549.9359108842	1
	1529.9615465305	2
	509.9871821768	2
J92567450-407	2096.9506380409	24
J57561021-902	585.0465656221	2
	3510.2793937326	3
	2340.1862624884	3
	1170.0931312442	2
J57561031-902	1315.4663805705	1
	657.7331902853	8
	1973.1995708558	1
	3288.6659514263	2
J57161010-403	132.3397855936	14
	2646.7957118721	2
	86.5555668403	1
	45.7842187533	1
J57158030-404	1284.3865824387	51
J57152013-404	9043.9761826859	1
	11304.9702283574	1
	6782.9821370144	3
	4521.9880913429	6
	2260.9940456715	12
J57160001-908	124027.688528216	23
J57161025-401A01	2646.7957118721	1
	93.6181446236	12
	1872.3628924725	1
J57161005-401A01	203.544828482	13
	4070.8965696403	2
J57166375-403	3436.6904523495	81
